ID,RA (deg),DEC (deg),cluster redshift,radial velocity(km/s),Comoving Distance(Mpc/h),r_200(Mpc/h),N_200,sigma_200(km/s),lower error in sigma_200(km/s),upper error in sigma_200(km/s),"M_200 cls mass (10^14 M_sun, NFW)","error in M_200 cls mass (10^14 M_sun, NFW)",R_s (Mpc/h),error in r_s (Mpc/h),"M_s (10^14 M_sun, NFW)","error in M_s (10^14 M_sun, NFW)"
652,180.4782,58.027974,0.1027976,29241.493,300.91183,0.7730677,33,476.20743,-80.033584,120.13095,1.18E+14,3.72E+13,0.14,0.044,2.22E+13,6.99E+12
653,182.23265,53.323494,0.08173537,23505.323,240.45801,0.77809567,26,490.37035,-103.54133,106.29385,1.18E+14,3.90E+13,0.17,0.056,2.54E+13,8.38E+12
654,177.28071,11.009332,0.08383282,24082.39,246.50627,0.77754261,20,464.49361,-128.07966,192.81516,1.18E+14,3.15E+13,0.15,0.04,2.32E+13,6.19E+12
655,348.42796,14.802898,0.1636454,45091.128,472.01461,0.75689958,32,447.46449,-102.13482,121.38566,1.18E+14,5.20E+13,0.1,0.044,1.81E+13,7.94E+12
656,116.7228,48.222827,0.11954336,33709.673,348.52781,0.7682269,11,441.60193,-108.84393,186.71138,1.18E+14,4.25E+13,0.1,0.036,1.79E+13,6.44E+12
657,166.86451,7.9796605,0.1610955,44448.138,464.9508,0.75737577,10,458.67296,-127.97594,158.49845,1.18E+14,4.73E+13,0.21,0.084,3.06E+13,1.23E+13
658,191.73582,0.25761876,0.088562795,25378.987,260.12301,0.77598115,25,420.80831,-73.124584,81.933853,1.18E+14,3.02E+13,0.5,0.128,6.94E+13,1.78E+13
659,337.80024,-1.0196213,0.1312928,36796.247,381.69856,0.76492491,10,322.90824,-78.924194,87.180894,1.18E+14,3.93E+13,0.24,0.08,3.40E+13,1.13E+13
660,233.1537,28.036133,0.073355675,21186.895,216.23237,0.77958736,40,476.39614,-67.420092,82.818261,1.18E+14,3.17E+13,0.64,0.172,9.21E+13,2.47E+13
661,131.25064,52.393756,0.056577645,16482.455,167.43161,0.78376829,12,524.17847,-78.357417,95.154808,1.18E+14,2.36E+13,0.02,0.004,8.38E+12,1.68E+12
